"from_stop_I","to_stop_I","d"
45478,1416,206.793270615562
45479,5125,1242.6175727223
45480,53,283.871575433291
45481,1744,1342.66817709223
45482,3020,1105.25854166181
45483,3277,211.780050248699
45484,4153,738.455013167289
45485,3919,406.489850032734
45486,3672,954.130281831372
45487,3055,173.830563977416
45488,3055,838.957689862218
45489,2518,516.211058037119
45490,2631,1265.64460662046
45491,3150,712.740268244602
45492,3367,2459.57349570781
45493,3142,2137.65385378073
45494,3142,5869.41325999523
45495,3142,4857.08875201369
45496,3142,7037.85974242026
45497,3133,2488.36563018243
45498,3133,3902.69786903534
45499,3167,38408.5487725788
45500,3167,24733.2493411761
45501,3167,28048.5957505504
45502,3131,5444.98887726243
45503,3142,10660.5952534816
45504,3167,3874.6127939502
45505,3167,30072.1696819454
45506,3142,12020.1206499222
45507,3142,14678.8979363753
45508,3142,15724.0460432487
45509,3167,29207.5837230662
45510,3167,35283.4510020849
45511,3167,35948.7101519781
45512,3167,39843.9931785525
45513,3183,1227.87244539733
45514,3142,7925.1174027908
45515,3142,11592.3499003907
45516,3167,34021.8341997703
45517,3167,33205.7798128924
45518,3167,35303.1042975347
45519,2403,260.260169343918
45520,2600,363.327063921306
45521,2547,686.762244352931
45522,2551,321.093151463086
45523,2546,715.957907422185
45524,1349,594.686419335403
45525,1313,558.631960173684
45526,1365,483.111182365175
45527,1334,464.12223791517
45528,1842,298.381099720073
45529,2038,739.505221225532
45530,2039,392.278870600635
45531,2515,1398.39125148929
45532,2598,564.761819128882
45533,2101,413.51939963211
45534,2095,586.329319014511
45535,2601,616.297473327623
45536,2439,732.882736338258
45537,2441,1162.44262851401
45538,2591,799.246570846018
45539,2602,700.211934605013
45540,2592,21.999846106564
45541,2488,399.460609499478
45542,2492,1840.54608472487
45543,2073,574.767313908009
45544,2397,770.663763095833
45545,2323,421.64837353978
45546,2590,1062.69600334
45547,2591,486.89262473848
45548,2590,679.208052951685
45549,2515,891.981923140671
45550,2491,1063.1032528686
45551,2491,360.236897693635
45552,2590,1080.64653558707
45553,2489,1683.38936118533
45554,2490,788.239247403597
45555,2489,405.352310130597
45556,2515,823.42310552531
45557,2514,1118.70806140409
45558,2641,661.484065569662
45559,2514,596.95130856849
45560,2494,1583.90722757386
45561,2494,614.884473565325
45562,2677,438.983483881279
45563,2095,620.977051682057
45564,2532,708.361400483123
45565,2509,209.807925124958
45566,2515,1418.21542117156
45567,2330,471.08301155668
45568,2400,632.140803502686
45569,2104,1269.39218175535
45570,2288,645.203733448146
45571,2326,162.233010240806
45572,2525,801.938389814451
45573,2403,509.518734674883
45574,2020,533.790796277574
45575,2439,1301.82900713103
45576,5186,1530.08029019645
45577,2317,1183.11344274209
45578,2505,945.2668584539
45579,2660,1010.88751303175
45580,2673,349.805667010667
45581,5184,1014.95711775887
45582,5184,440.201057424832
45583,2333,344.651408229908
45584,2104,377.941049112385
45585,2100,201.487416578161
45586,2019,1010.42333862619
45587,2120,1142.69626776808
45588,2403,1546.19603100784
45589,2106,913.980265376402
45590,2119,1145.80786695705
45591,2150,1467.92387771177
45592,2493,939.710777707878
45593,2503,643.104034304624
45594,2532,1893.1513007901
45595,4225,1058.68747066872
45596,3564,422.020553505939
45597,4234,860.59612087997
45598,4259,778.613831755236
45599,3922,429.876946001439
45600,3904,380.38341258003
45601,4247,1238.96029187029
45602,3738,598.771410591129
45603,5111,644.316952749682
45604,4190,1258.41300260386
45605,2381,1510.1103371727
45606,2382,602.89502763225
45607,2149,362.876667568592
45608,2151,645.697471983904
45609,3615,656.732157700015
45610,2484,425.359409489777
45611,2126,429.119647638288
45612,2159,588.924648573115
45613,2162,722.658286242073
45614,2160,514.690856416996
45615,1480,805.072317555865
45616,2480,304.207982570371
45617,1482,279.053039998345
45618,1282,361.6784552154
45619,1482,222.202934391506
45620,1400,631.896106785421
45621,1403,323.478865704285
45622,1397,633.696941279821
45623,1404,277.387898360835
45624,1404,478.475027391202
45625,861,268.352359632608
45626,1343,1052.10262552797
45627,867,1170.43742808408
45628,1344,629.058705834549
45629,1511,302.094138153144
45630,1353,356.695682036391
45631,1362,251.957993759062
45632,1877,944.774050691682
45633,1878,499.077042012426
45634,1405,566.512850738229
45635,1402,1264.87268361542
45636,1402,618.513272570724
45637,1407,1056.13604155565
45638,1441,1031.26323673703
45639,1411,674.329508321719
45640,1180,245.59450112087
45641,5154,425.054680965847
45642,1178,74.0903270609572
45643,1397,1092.06556977815
45644,1397,536.802431508924
45645,1397,1102.99933847932
45646,1395,705.631245094085
45647,1286,1094.12219407989
45648,1286,651.27624583524
45649,684,348.544376337887
45650,1870,449.819568839987
45651,3587,1999.69185031153
45652,2391,715.198766689315
45653,2391,1150.8995810291
45654,1894,860.162680854121
45655,1895,872.726227452526
45656,2393,945.7379637784
45657,1340,957.900906668086
45658,1388,512.123237169285
45659,1281,886.303076317947
45660,1281,437.005777889458
45661,1277,554.729502315837
45662,1322,235.454272317366
45663,1324,344.412918145925
45664,1322,453.790731148834
45665,1337,596.150722013205
45666,1225,568.192704036266
45667,680,381.402453264903
45668,1312,511.695251107714
45669,1327,319.899690665168
45670,1315,676.860168898999
45671,867,442.449966854802
45672,813,305.441887467186
45673,1352,317.744643196657
45674,1355,289.08869906473
45675,1386,722.568711461251
45676,815,370.371567358681
45677,799,558.194078081289
45678,889,407.810330126834
45679,1876,750.975198646002
45680,1845,440.052292384103
45681,1867,550.640272023818
45682,1342,261.869125568304
45683,1366,170.346044699536
45684,1328,562.467544319373
45685,1303,699.785298289733
45686,1364,912.09152090444
45687,1364,878.455428869278
45688,1364,1118.01961999162
45689,1274,282.634486498152
45690,885,456.859638162187
45691,697,859.624672029667
45692,1361,345.10214267572
45693,2056,853.852535858778
45694,1849,454.05527142416
45695,1846,1073.38829692005
45696,1866,946.706701279971
45697,2036,442.599918537676
45698,1866,376.465205078297
45699,3587,1357.33074523042
45700,1489,480.74600990691
45701,668,371.644723655623
45702,1489,216.745642931479
45703,1341,208.793436688516
45704,1339,292.392510558955
45705,682,216.930676420549
45706,862,430.937703719921
45707,1773,571.034720767891
45708,864,237.455540041271
45709,1211,220.859744515673
45710,1196,398.509641440955
45711,1328,512.779336825752
45712,809,308.198143222149
45713,684,949.375170855904
45714,1868,406.505195609602
45715,1331,567.528710449822
45716,835,262.612677560517
45717,842,205.204872204386
45718,1426,170.267611239531
45719,1174,250.135084060484
45720,1383,235.845091643474
45721,1347,637.155388187864
45722,1505,469.444049840988
45723,1419,178.375209342097
45724,1418,295.26584203788
45725,2041,456.637142469224
45726,1309,360.198207654817
45727,1329,287.347880483689
45728,1329,499.691249259623
45729,1347,976.36425266299
45730,1359,465.575177998238
45731,1346,398.246072452604
45732,1302,385.559491226147
45733,1782,413.024290752762
45734,678,243.644999799637
45735,1347,237.524842116187
45736,803,900.850284656549
45737,696,490.742990280878
45738,1358,212.854699590393
45739,664,541.767049804036
45740,1340,295.712531012737
45741,1434,219.886512705305
45742,2037,440.572358240006
45743,2034,625.275865061203
45744,2041,1134.82427947031
45745,1486,566.339335132094
45746,667,163.396772652553
45747,1487,596.927015269875
45748,1290,514.398108601758
45749,1319,604.397001362179
45750,1319,447.508621507042
45751,1213,807.742669126634
45752,888,562.725173504782
45753,798,400.51185351926
45754,816,858.814659452957
45755,886,418.694372622576
45756,890,341.815441574164
45757,892,527.802685350233
45758,912,269.834762136128
45759,874,316.6536717053
45760,1505,634.542394900577
45761,867,538.965178915844
45762,867,1002.03589313112
45763,1795,876.290407929582
45764,889,710.38854841108
45765,915,478.738227714931
45766,676,1226.64897782344
45767,1886,434.561071866112
45768,1195,354.747201848265
45769,1172,511.2590400959
45770,1395,172.507825414928
45771,1395,245.307241913566
45772,860,542.521925684524
45773,1410,265.852544289012
45774,1410,209.214666162829
45775,1390,572.154267609879
45776,1388,268.874800319135
45777,856,183.228253415617
45778,1190,665.225762517174
45779,1875,464.646926886306
45780,1870,1379.10339912858
45781,1428,450.473131154014
45782,1193,483.878436180915
45783,1246,641.176965088368
45784,838,295.772859725907
45785,835,307.274943128262
45786,911,519.407119677344
45787,1785,525.142221757867
